SKU,Product Name,Product Line Code,Weight,Weight Unit,Material Code,Component Qty,Lead Time Days,Status,Last Updated,Data Quality Flag,Comment
SKU-00041,Widget 3000,PNEU,82.099,kg,CF,22,83,DISCONTINUED,20-Dec-2025,VALID,
SKU-00042,Widget 3000,HYDR,44.683,g,ST,6,77,active,03-Jan-2026,VALID,
SKU-00043,Seal Ring Kit,STRUC,246.06,kg,RB,36,25,pending,20250301,VALID,
SKU-00044,Filter Cartridge,STRUC,231.398,kg,AL,27,9,discont,20251202,VALID,
SKU-00045,Hydraulic Pump P-50,STRUC,77.356,g,TI,25,90,discont,20250525,VALID,
SKU-00046,Mounting Plate,SOFT,235.094,kg,RB,25,71,DISCONTINUED,22/11/2025,VALID,
SKU-00047,Cable Harness,PNEU,196.45,g,CF,28,57,PENDING,2026-06-22,VALID,
SKU-00048,Widgit Pro,SOFT,21.245,g,PL,48,31,ACTIVE,20250902,VALID,
SKU-00049,Mounting Plate,ELEC,11.601,g,PL,29,54,ACTIVE,2026-02-12,VALID,
SKU-00050,Widgit Pro,MECH,36.935,kg,RB,49,55,ACTIVE,2025-07-14,VALID,
SKU-00051,Throttle Valve,STRUC,62.337,kg,AL,8,103,PENDING,05-Dec-2025,VALID,
SKU-00052,Throttle Valve,SOFT,223.01,g,CE,28,115,in dev,2026-05-16,VALID,
SKU-00053,Throttle Valve,MECH,209.974,g,TI,31,81,in dev,2025-10-23,VALID,
SKU-00054,Throttle Valve,SOFT,71.468,g,ST,20,115,discont,05/06/2025,VALID,
SKU-00055,Sensor Array,PNEU,173.503,kg,CF,26,53,ACTIVE,20260507,VALID,
SKU-00056,Filter Cartridge,MECH,208.231,g,AL,48,74,active,18-May-2026,VALID,
SKU-00057,Widget 3000,HYDR,188.381,g,CU,47,95,in dev,2026-05-29,VALID,
SKU-00058,Gearbox Kit,PNEU,121.436,g,TI,42,87,discont,03-Jul-2025,VALID,
SKU-00059,Throttle Valve,STRUC,133.554,g,PL,5,83,active,02-Jun-2025,VALID,
SKU-00060,Throttle Valve,ELEC,65.076,g,PL,29,42,discontinued,20260207,VALID,
SKU-00061,Heat Sink,HYDR,208.736,g,RB,47,70,active,08/01/2026,VALID,
SKU-00062,Gearbox Kit,SOFT,10.113,kg,ST,12,108,discontinued,20/06/2025,VALID,
SKU-00063,Gearbox Kit,PNEU,167.381,kg,PL,44,33,PENDING,20250705,VALID,
SKU-00064,Hydraulic Pump P-50,HYDR,27.069,kg,PL,36,87,DISCONTINUED,25-Feb-2026,VALID,
SKU-00065,Mounting Plate,STRUC,172.669,kg,ST,44,99,ACTIVE,20250518,VALID,
SKU-00066,Bracket Assembly,STRUC,107.123,g,CU,32,83,ACTIVE,20250127,VALID,
SKU-00067,Filter Cartridge,ELEC,108.409,g,GL,45,20,PENDING,14-Jul-2025,VALID,
SKU-00068,Heat Sink,STRUC,193.672,g,CE,46,76,pending,20251211,VALID,
SKU-00069,Gearbox Kit,HYDR,220.414,kg,ST,36,79,PENDING,25-Dec-2025,VALID,
SKU-00070,Widget 3000,HYDR,45.501,kg,GL,16,44,discont,20251024,VALID,
SKU-00071,Widget 3000,MECH,21.449,g,WD,35,98,PENDING,2026-05-17,VALID,
SKU-00072,Widgit Pro,ELEC,23.309,kg,GL,44,32,pending,20260127,VALID,
SKU-00073,Widgit Pro,STRUC,85.972,g,WD,44,59,discont,20251124,VALID,
SKU-00074,Heat Sink,ELEC,180.335,g,CF,47,69,ACTIVE,2025-07-30,VALID,
SKU-00075,Mounting Plate,HYDR,181.16,g,GL,12,38,ACTIVE,2026-01-19,VALID,
SKU-00076,Actuator Rod,ELEC,177.019,kg,TI,2,7,DISCONTINUED,20250524,VALID,
SKU-00077,Widgit Pro,ELEC,143.537,g,ST,28,44,PENDING,2025-03-08,VALID,
SKU-00078,Heat Sink,ELEC,205.538,g,GL,4,74,PENDING,19/06/2025,VALID,
SKU-00079,Sensor Array,HYDR,21.341,kg,CE,35,98,ACTIVE,03-Sep-2025,VALID,
SKU-00080,Bus Bar,PNEU,74.373,g,GL,36,80,DISCONTINUED,26/04/2025,VALID,
SKU-00081,Mounting Plate,HYDR,165.124,kg,CF,11,71,discontinued,24/06/2025,VALID,
SKU-00082,Widget 3000,PNEU,172.358,g,RB,2,30,DISCONTINUED,20251031,VALID,
SKU-00083,Throttle Valve,SOFT,58.394,g,ST,27,15,discontinued,2025-06-16,VALID,
SKU-00084,Heat Sink,ELEC,14.957,g,PL,28,16,DISCONTINUED,22-Nov-2025,VALID,
SKU-00085,Bus Bar,STRUC,135.018,g,TI,38,6,ACTIVE,11-Dec-2025,VALID,
SKU-00086,Heat Sink,ELEC,57.27,kg,AL,36,6,DISCONTINUED,2026-05-11,VALID,
SKU-00087,Throttle Valve,MECH,249.237,g,TI,5,61,PENDING,20260309,VALID,
SKU-00088,Seal Ring Kit,SOFT,26.195,kg,CU,26,89,discont,06-Nov-2025,VALID,
SKU-00089,Bus Bar,ELEC,113.734,g,WD,20,15,DISCONTINUED,25-Jun-2026,VALID,
SKU-00090,Widget 3000,PNEU,103.341,kg,WD,23,80,in dev,12-Apr-2026,VALID,
SKU-00091,Bracket Assembly,HYDR,137.327,g,CF,44,63,PENDING,13/02/2025,VALID,
SKU-00092,Gearbox Kit,HYDR,137.732,g,PL,14,108,ACTIVE,02/05/2026,VALID,
SKU-00093,Hydraulic Pump P-50,PNEU,233.167,g,PL,45,35,in dev,24-May-2026,VALID,
SKU-00094,Widgit Pro,PNEU,137.839,g,CF,38,66,discontinued,2025-03-27,VALID,
SKU-00095,Heat Sink,HYDR,233.565,g,RB,18,93,active,20260531,VALID,
SKU-00096,Sensor Array,STRUC,121.111,g,GL,48,70,in dev,26-Apr-2026,VALID,
SKU-00097,Seal Ring Kit,SOFT,59.739,g,CF,49,53,discontinued,06/12/2025,VALID,
SKU-00098,Widgit Pro,PNEU,247.104,kg,RB,2,17,PENDING,20250427,VALID,
SKU-00099,Throttle Valve,STRUC,227.615,kg,ST,26,112,Active,2025-04-01,VALID,
SKU-00100,Widgit Pro,HYDR,155.834,g,TI,21,110,ACTIVE,05-Dec-2025,VALID,
SKU-00101,Widgit Pro,elec,154.384,kg,WD,14,96,DISCONTINUED,04/04/2026,VALID,
SKU-00102,Hydraulic Pump P-50,PNEU,41.633,g,ST,2,42,active,11/11/2025,VALID,
SKU-00103,Piston Head,PNEU,36.435,G,CU,10,23,Active,10/02/2026,VALID,
SKU-00104,Gearbox Kit,STRUC,35.822,g,GL,29,33,DISCONTINUED,06/05/2026,VALID,
SKU-00105,Cable Harness,MECH,18.512,g,WD,40,55,Discont,20260427,VALID,
SKU-00106,Cable Harness,PNEU,213.341,kg,CF,24,74,discontinued,20251113,VALID,
SKU-00107,Cable Harness,SOFT,98.982,kg,AL,38,96,active,20250115,VALID,
SKU-00108,Gearbox Kit,HYDR,54.79,kg,CE,43,97,DISCONTINUED,2025-04-24,VALID,
SKU-00109,Bracket Assembly,PNEU,8.389,g,TI,5,117,Active,20251215,TEST,test record - exclude
SKU-00110,Filter Cartridge,MECH,33.083,g,PL,32,117,in dev,20250702,VALID,
SKU-00111,Heat Sink,HYDR,186.653,g,GL,29,10,ACTIVE,2025-09-03,DUPLICATE,
SKU-00112,Bus Bar,HYDR,22.621,g,WD,16,69,active,25/04/2026,VALID,
SKU-00113,Piston Head,STRUC,,g,TI,43,30,ACTIVE,09-Feb-2025,VALID,
SKU-00114,Seal Ring Kit,MECH,161.931,g,CE,41,53,DISCONTINUED,07/06/2025,VALID,
SKU-00115,Bracket Assembly,HYDR,248.982,kg,XX,15,114,ACTIVE,2026-02-16,VALID,
SKU-00116,Throttle Valve,SOFT,237.348,g,CU,26,84,Active,31/05/2026,VALID,
SKU-00117,Filter Cartridge,ELEC,172.586,kg,TI,-1,31,PENDING,20250426,VALID,
SKU-00118,Piston Head,SOFT,89.701,g,WD,12,16,DISCONTINUED,18-Apr-2025,VALID,
SKU-00119,Mounting Plate,ZZ,12.692,g,CE,8,101,discontinued,2025-03-26,VALID,
SKU-00120,Mounting Plate,MECH,203.273,kg,CE,49,19,discont,25/10/2025,VALID,
SKU-00121,Sensor Array,STRUC,62.701,kg,PL,42,111,ACTIVE,29/05/2025,VALID,
SKU-00122,Widget 3000,MECH,147.234,kg,CU,16,7,Active,2026-03-22,VALID,
SKU-00123,Hydraulic Pump P-50,PNEU,112.096,g,ST,37,14,in dev,14-Jun-2026,VALID,
SKU-00124,Gearbox Kit,ELEC,181.824,g,CE,41,4,PENDING,20/05/2026,VALID,
SKU-00125,Bus Bar,SOFT,27.035,g,RB,5,42,ACTIVE,2025-03-23,VALID,
SKU-00126,Sensor Array,STRUC,158.288,g,TI,38,68,pending,20260424,VALID,
SKU-00127,Filter Cartridge,SOFT,28.648,kg,ST,28,114,pending,2026-03-14,VALID,
SKU-00128,Seal Ring Kit,PNEU,104.027,kg,GL,27,41,discont,20260202,VALID,
SKU-00129,Sensor Array,ELEC,22.852,kg,GL,27,13,ACTIVE,20250528,VALID,
SKU-00130,Bracket Assembly,STRUC,140.443,kg,CE,22,112,pending,08-Mar-2025,VALID,
SKU-00131,Cable Harness,HYDR,87.944,kg,CE,42,62,Active,2025-05-05,VALID,
SKU-00132,Piston Head,HYDR,28.766,g,WD,27,109,discontinued,15/10/2025,VALID,
SKU-00133,Widget 3000,HYDR,175.69,g,PL,22,1,discont,2025-06-10,VALID,
SKU-00134,Bus Bar,MECH,185.255,kg,ST,47,68,ACTIVE,2026-02-04,VALID,
SKU-00135,Filter Cartridge,HYDR,39.394,g,GL,49,73,discont,09/03/2025,VALID,
SKU-00136,Sensor Array,STRUC,12.488,kg,PL,28,85,DISCONTINUED,27-May-2026,VALID,
SKU-00137,Throttle Valve,HYDR,53.931,kg,RB,27,15,discont,20260528,VALID,
SKU-00138,Cable Harness,MECH,98.846,kg,AL,13,39,active,2025-06-04,VALID,
SKU-00139,Heat Sink,HYDR,30.04,g,TI,11,17,pending,07-Sep-2025,VALID,
SKU-00140,Piston Head,PNEU,215.448,kg,ST,1,59,pending,01/12/2025,VALID,
SKU-00141,Filter Cartridge,PNEU,177.389,g,CE,7,52,DISCONTINUED,13/12/2025,VALID,
SKU-00142,Actuator Rod,PNEU,208.015,g,CE,27,109,ACTIVE,21/09/2025,VALID,
SKU-00143,Filter Cartridge,PNEU,131.014,g,CE,47,44,DISCONTINUED,2025-12-22,VALID,
SKU-00144,Actuator Rod,STRUC,158.325,kg,ST,22,94,discont,2025-09-13,VALID,
SKU-00145,Hydraulic Pump P-50,HYDR,49.358,kg,PL,11,99,ACTIVE,05-May-2026,VALID,
SKU-00146,Throttle Valve,SOFT,158.843,g,CE,9,57,discont,10/05/2026,VALID,
SKU-00147,Throttle Valve,HYDR,147.875,g,TI,4,40,in dev,22-Apr-2026,VALID,
SKU-00148,Bracket Assembly,HYDR,207.933,kg,AL,39,77,ACTIVE,03-May-2026,VALID,
SKU-00149,Bracket Assembly,STRUC,162.977,g,GL,32,20,PENDING,21/04/2026,VALID,
SKU-00150,Hydraulic Pump P-50,SOFT,21.128,kg,CU,15,91,active,09-Apr-2026,VALID,
SKU-00151,Actuator Rod,HYDR,229.488,g,CU,49,44,pending,23/12/2025,VALID,
SKU-00152,Control Module X1,ELEC,139.513,g,CU,16,93,DISCONTINUED,2025-12-22,VALID,
SKU-00153,Control Module X1,SOFT,35.4,g,CE,41,90,DISCONTINUED,27-May-2025,VALID,
SKU-00154,Control Module X1,STRUC,94.201,g,TI,42,90,Active,24/03/2026,VALID,
SKU-00155,Piston Head,HYDR,77.251,kg,AL,49,63,discont,2025-09-03,VALID,
SKU-00156,Sensor Array,ELEC,73.983,kg,PL,49,70,in dev,25/12/2025,VALID,
SKU-00157,Sensor Array,PNEU,38.605,kg,CE,46,57,Active,11/03/2026,VALID,
SKU-00158,Piston Head,PNEU,152.668,g,CF,34,31,discontinued,20260510,VALID,
SKU-00159,Mounting Plate,SOFT,236.785,g,CU,49,37,PENDING,13-Jun-2026,VALID,
SKU-00160,Filter Cartridge,MECH,200.325,kg,PL,3,83,DISCONTINUED,30-Jan-2026,VALID,
SKU-00161,Hydraulic Pump P-50,ELEC,71.302,kg,WD,28,116,DISCONTINUED,2026-04-07,VALID,
SKU-00162,Control Module X1,PNEU,221.163,kg,CF,3,51,pending,20250913,VALID,
SKU-00163,Bus Bar,HYDR,56.173,g,ST,45,84,ACTIVE,20250613,VALID,
SKU-00164,Sensor Array,HYDR,229.353,g,AL,48,91,Active,19-Apr-2026,VALID,
SKU-00165,Widget 3000,ELEC,64.018,kg,ST,46,78,in dev,08-May-2025,VALID,
SKU-00166,Cable Harness,HYDR,30.506,kg,CF,40,102,pending,20-Mar-2025,VALID,
SKU-00167,Hydraulic Pump P-50,STRUC,134.037,kg,GL,18,55,Active,11/01/2026,VALID,
SKU-00168,Gearbox Kit,PNEU,46.869,kg,CE,23,9,in dev,18/02/2026,VALID,
SKU-00169,Widgit Pro,SOFT,96.751,g,AL,47,3,DISCONTINUED,20250325,VALID,
SKU-00170,Piston Head,SOFT,164.293,kg,CF,8,6,discont,20251227,VALID,
SKU-00171,Actuator Rod,SOFT,119.659,kg,GL,4,92,Active,21-Feb-2025,VALID,
SKU-00172,Cable Harness,ELEC,197.788,kg,CF,19,66,discont,14-May-2026,VALID,
SKU-00173,Heat Sink,SOFT,47.816,g,AL,41,43,active,20250522,VALID,
SKU-00174,Piston Head,PNEU,185.84,g,RB,11,64,discont,26-Jan-2026,VALID,
SKU-00175,Heat Sink,SOFT,106.154,g,ST,34,38,Active,20250430,VALID,
SKU-00176,Control Module X1,SOFT,73.945,g,CU,10,89,pending,09-Jan-2026,VALID,
SKU-00177,Throttle Valve,SOFT,217.516,g,AL,17,82,pending,01/04/2025,VALID,
SKU-00178,Bus Bar,STRUC,200.284,kg,CU,9,109,active,19-Feb-2025,VALID,
SKU-00179,Sensor Array,MECH,194.64,g,ST,24,73,discont,21/06/2025,VALID,
SKU-00180,Throttle Valve,HYDR,111.013,kg,CU,33,47,Active,02-Dec-2025,VALID,
SKU-00181,Heat Sink,ELEC,6.527,kg,CF,33,50,PENDING,10/10/2025,VALID,
SKU-00182,Heat Sink,MECH,249.091,g,GL,12,16,PENDING,2025-03-31,VALID,
SKU-00183,Throttle Valve,SOFT,111.306,kg,PL,42,45,discont,08/11/2025,VALID,
SKU-00184,Cable Harness,SOFT,177.405,kg,PL,32,29,discont,08/08/2025,VALID,
SKU-00185,Sensor Array,PNEU,6.62,g,CF,35,17,PENDING,23/03/2025,VALID,
SKU-00186,Cable Harness,SOFT,179.731,g,RB,36,10,pending,2025-12-05,VALID,
SKU-00187,Control Module X1,PNEU,170.043,g,GL,49,71,Active,2025-05-27,VALID,
SKU-00188,Filter Cartridge,ELEC,207.856,kg,WD,10,21,DISCONTINUED,20250902,VALID,
SKU-00189,Piston Head,HYDR,211.491,g,WD,40,71,discontinued,20250523,VALID,
SKU-00190,Cable Harness,STRUC,23.402,kg,CE,10,85,Active,20250226,VALID,
SKU-00191,Widget 3000,ELEC,237.139,g,ST,49,74,discontinued,15-Feb-2025,VALID,
SKU-00192,Widgit Pro,HYDR,160.495,g,WD,15,104,PENDING,15-Nov-2025,VALID,
SKU-00193,Throttle Valve,SOFT,15.025,g,ST,30,60,pending,2025-12-29,VALID,
SKU-00194,Sensor Array,SOFT,79.863,g,CU,8,98,pending,20260626,VALID,
SKU-00195,Hydraulic Pump P-50,MECH,116.645,g,CU,15,19,PENDING,07/03/2025,VALID,
SKU-00196,Cable Harness,STRUC,104.563,kg,RB,36,93,discont,20250728,VALID,
SKU-00197,Actuator Rod,STRUC,116.73,g,GL,1,12,PENDING,16-Jun-2026,VALID,
SKU-00198,Throttle Valve,MECH,145.857,kg,CF,18,64,active,03-Nov-2025,VALID,
SKU-00199,Widget 3000,PNEU,33.527,g,ST,48,52,discont,20250302,VALID,
SKU-00200,Bus Bar,STRUC,140.476,g,AL,18,10,in dev,15-Jun-2026,VALID,
